TIME,RPM,CLT
43.24,3060,41
43.28,3065,41
43.32,3051,41
43.36,3033,41
43.4,3021,42
43.44,3020,42
43.48,3016,41
43.52,3033,42
43.56,3029,42
43.6,3002,42
43.64,3017,42
43.68,3052,42
43.72,3072,42
43.76,3051,42
43.8,3056,42
43.84,3047,42
43.88,3057,42
43.92,3075,42
43.96,3044,42
44,2980,42
44.04,2951,42
44.08,2956,42
44.12,2969,42
44.16,2997,42
44.2,3017,42
44.24,3014,42
44.28,3019,42
44.32,2963,42
44.36,2960,42
44.4,2962,42
44.44,2993,42
44.48,3021,42
44.52,3015,42
44.56,3031,42
44.6,3035,42
44.64,2997,42
44.68,3043,42
44.72,3054,42
44.76,2971,42
44.8,2977,42
44.84,2976,42
44.88,3009,42
44.92,2996,42
44.96,3010,42
45,3025,42
45.04,3024,42
45.08,2991,42
45.12,3015,42
45.16,3039,42
45.2,3023,42
45.24,3031,42
45.28,3068,42
45.32,3076,42
45.36,3069,42
45.4,3069,42
45.44,3026,42
45.48,3024,42
45.52,2991,42
45.56,2983,42
45.6,2951,42
45.64,2991,42
45.68,3003,42
45.72,3006,42
45.76,3015,42
45.8,3011,42
45.84,3025,42
45.88,3014,42
45.92,2969,42
45.96,2968,42
46,2978,42
46.04,2983,42
46.08,2957,42
46.12,2977,42
46.16,2963,42
46.2,2966,42
46.24,2975,42
46.28,2948,42
46.32,2932,42
46.36,2940,42
46.4,2992,42
46.44,3012,42
46.48,3026,42
46.52,3044,42
46.56,2983,42
46.6,3000,42
46.64,3003,42
46.68,2994,42
46.72,3016,42
46.76,3045,42
46.8,3052,42
46.84,3071,42
46.88,3058,42
46.92,3039,42
46.96,3024,42
47,3009,42
47.04,2937,42
47.08,2980,42
47.12,2997,42
47.16,2983,42
47.2,2946,42
47.24,2946,42
47.28,2987,42
47.32,3003,42
47.36,3020,42
47.4,2973,42
47.44,2985,42
47.48,2958,42
47.52,2962,42
47.56,2977,42
47.6,3002,42
47.64,3010,42
47.68,2980,43
47.72,2983,42
47.76,3009,42
47.8,3022,42
47.84,2988,43
47.88,2967,42
47.92,2966,42
47.96,2993,43
48,3005,43
48.04,3021,42
48.08,3035,43
48.12,3017,43
48.16,2994,43
48.2,3014,43
48.24,2994,43
48.28,2993,43
48.32,3003,43
48.36,3004,43
48.4,3027,43
48.44,2984,43
48.48,3026,43
48.52,3025,43
48.56,3029,43
48.6,3048,43
48.64,3047,43
48.68,3025,43
48.72,2998,43
48.76,2989,43
48.8,2999,43
48.84,3015,43
48.88,3007,43
48.92,3007,43
48.96,3042,43
49,3034,43
49.04,3028,43
49.08,3014,43
49.12,2967,43
49.16,2935,43
49.2,2913,43
49.24,2919,43
49.28,2910,43
49.32,2947,43
49.36,2940,43
49.4,2992,43
49.44,3031,43
49.48,2978,43
49.52,3001,43
49.56,3026,43
49.6,3020,43
49.64,3059,43
49.68,3069,43
49.72,3091,43
49.76,3012,43
49.8,3066,43
49.84,3039,43
49.88,2993,43
49.92,2982,43
49.96,2955,43
50,2953,43
50.04,2994,43
50.08,3013,43
50.12,3065,43
50.16,3058,43
50.2,3096,43
50.24,3161,43
50.28,3194,43
50.32,3216,43
50.36,3240,43
50.4,3385,43
50.44,3446,43
50.48,3494,43
50.52,3532,43
50.56,3587,43
50.6,3635,43
50.64,3739,43
50.68,3788,43
50.72,3816,44
50.76,3846,43
50.8,3932,43
50.84,3947,43
50.88,3986,43
50.92,4058,43
50.96,4067,43
51,4092,43
51.04,4155,43
51.08,4155,44
51.12,4210,44
51.16,4223,43
51.2,4219,43
51.24,4271,43
51.28,4258,44
51.32,4296,44
51.36,4280,43
51.4,4290,43
51.44,4312,43
51.48,4286,44
51.52,4313,44
51.56,4284,43
51.6,4306,44
51.64,4293,43
51.68,4260,43
51.72,4280,44
51.76,4251,44
51.8,4262,44
51.84,4220,44
51.88,4216,44
51.92,4233,44
51.96,4197,44
52,4223,44
52.04,4217,44
52.08,4191,44
52.12,4032,44
52.16,3867,44
52.2,3599,44
52.24,3421,44
52.28,3238,44
52.32,3049,44
52.36,2853,44
52.4,2647,44
52.44,2445,44
52.48,2569,44
52.52,2662,44
52.56,2696,44
52.6,2742,44
52.64,2729,44
52.68,2769,44
52.72,2821,44
52.76,2916,44
52.8,2991,44
52.84,3009,44
52.88,3050,44
52.92,3063,44
52.96,3048,44
53,3095,44
53.04,3135,44
53.08,3162,44
53.12,3231,44
53.16,3265,44
53.2,3294,44
53.24,3308,44
53.28,3313,44
53.32,3352,44
53.36,3358,44
53.4,3363,44
53.44,3383,44
53.48,3395,44
53.52,3478,44
53.56,3506,44
53.6,3524,44
53.64,3527,44
53.68,3551,44
53.72,3570,44
53.76,3653,44
53.8,3660,44
53.84,3667,44
53.88,3680,44
53.92,3739,44
53.96,3756,44
54,3732,44
54.04,3767,44
54.08,3841,44
54.12,3869,44
54.16,3858,44
54.2,3877,44
54.24,3936,44
54.28,3963,44
54.32,3957,44
54.36,4023,44
54.4,4038,44
